id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
4IQgbTjXZfINWOS5TKL6T0,0.843,0.139,118.048,0.08,0.206,0.816,4,0.772,7,254160,-4.507,0.614,0,audio_features,spotify:track:4IQgbTjXZfINWOS5TKL6T0
3hrpFvnEa3Wh9mfdWooh0w,0.693,0.118,119.004,0.0308,0.0165,0.0794,4,0.855,8,276000,-5.662,0.687,0,audio_features,spotify:track:3hrpFvnEa3Wh9mfdWooh0w
1amC4bm0AS7hKhjFqsYiNx,0.794,0.1,120.991,0.0481,0.000157,0.79,4,0.806,0,481488,-6.187,0.572,0,audio_features,spotify:track:1amC4bm0AS7hKhjFqsYiNx
2XWSW1yKQHZoypfo2gAjVN,0.712,0.158,119.911,0.0449,0.213,0.174,4,0.574,9,271826,-6.6,0.253,0,audio_features,spotify:track:2XWSW1yKQHZoypfo2gAjVN
5dgqXNsYEu193y2DDKii12,0.405,0.0998,94.535,0.0297,0.835,0.747,4,0.542,1,328889,-15.076,0.214,1,audio_features,spotify:track:5dgqXNsYEu193y2DDKii12
7qS8M8VEeAutnEK0H2MyTR,0.931,0.0934,120.955,0.0536,0.00104,9.21e-06,4,0.492,11,203467,-6.119,0.435,0,audio_features,spotify:track:7qS8M8VEeAutnEK0H2MyTR
4oT6yV0EFVEu8tuI2OFENx,0.426,0.109,132.008,0.0618,0.136,0.0301,4,0.827,0,282690,-10.103,0.474,1,audio_features,spotify:track:4oT6yV0EFVEu8tuI2OFENx
3dxXrRwIm8IT3TfxuT6NHf,0.865,0.122,168.144,0.0799,0.00385,0.000107,3,0.245,0,271600,-4.937,0.481,1,audio_features,spotify:track:3dxXrRwIm8IT3TfxuT6NHf
7agLvV2SKevb0OjvTbZoJd,0.66,0.107,106.973,0.0286,0.0764,1.49e-05,4,0.562,4,287480,-7.391,0.176,1,audio_features,spotify:track:7agLvV2SKevb0OjvTbZoJd
5u2rFw6MksIEiCubo9HVee,0.997,0.114,154.998,0.133,0.0017,3.99e-06,4,0.555,1,265950,-1.718,0.226,0,audio_features,spotify:track:5u2rFw6MksIEiCubo9HVee
4o44OVFWQsbyWX2kgm6nqJ,0.515,0.101,107.965,0.0456,0.041,0.409,4,0.711,3,241693,-8.555,0.24,0,audio_features,spotify:track:4o44OVFWQsbyWX2kgm6nqJ
7fAYhL1kADSYvP6Da0mScg,0.988,0.315,116.221,0.0844,0.000445,0.00162,3,0.496,8,203627,-4.281,0.314,1,audio_features,spotify:track:7fAYhL1kADSYvP6Da0mScg
3gmVSae53M9b40UofEewqV,0.449,0.11,102.004,0.027,0.418,2.15e-05,4,0.688,11,204689,-9.478,0.204,0,audio_features,spotify:track:3gmVSae53M9b40UofEewqV
6vIMQB4hBD6ERSOCghGQkj,0.657,0.286,118.018,0.0572,0.00231,0.888,4,0.425,7,262840,-8.143,0.261,0,audio_features,spotify:track:6vIMQB4hBD6ERSOCghGQkj
7lpeJLwyVWkgvEVKWa65ag,0.71,0.127,112.661,0.0332,0.00798,0.0,4,0.49,0,238227,-3.135,0.437,0,audio_features,spotify:track:7lpeJLwyVWkgvEVKWa65ag
3Hor4ncCQaDAvRL5LUD0O8,0.985,0.385,146.933,0.118,0.000193,0.000184,4,0.435,6,158688,-3.739,0.31,0,audio_features,spotify:track:3Hor4ncCQaDAvRL5LUD0O8
6QNhmQ3ApIqw3XjMj2ETbz,0.864,0.115,152.111,0.0666,0.00751,0.0,4,0.395,11,218760,-4.608,0.382,0,audio_features,spotify:track:6QNhmQ3ApIqw3XjMj2ETbz
2w2uVadyyUSXRxCQalZMTU,0.732,0.12,149.268,0.0755,0.239,0.0233,4,0.659,3,285215,-8.002,0.921,0,audio_features,spotify:track:2w2uVadyyUSXRxCQalZMTU
2K3lJ1W0M6R3U1HD2oGsjh,0.919,0.137,163.994,0.0432,0.00178,0.0,3,0.5,8,302067,-2.134,0.381,1,audio_features,spotify:track:2K3lJ1W0M6R3U1HD2oGsjh
5q2WqwNjp8bt8PNxhTbU8H,0.718,0.116,123.69,0.0392,0.0172,0.000108,4,0.523,5,237320,-7.917,0.176,0,audio_features,spotify:track:5q2WqwNjp8bt8PNxhTbU8H
0UXBfwSdbMoETYleS1TowT,0.399,0.126,82.709,0.0414,0.603,0.000123,4,0.617,7,177307,-8.61,0.605,1,audio_features,spotify:track:0UXBfwSdbMoETYleS1TowT
3arVrdpOPMgLZOztBr2jM6,0.368,0.126,113.58,0.0253,0.443,0.0814,4,0.55,4,319787,-9.899,0.247,1,audio_features,spotify:track:3arVrdpOPMgLZOztBr2jM6
